Education,Response
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,1
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,2
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,3
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
<= HS Grad,4
